40	29.76	3	7	1.204	10	1.3239	0.02507	11.25
40	30.08	3	7	1.204	10	1.3299	0.02613	11.5
40	30.4	3	7	1.204	10	1.3354	0.02729	11.75
40	30.72	3	7	1.204	10	1.3393	0.0286	12
40	31.04	3	7	1.204	10	1.3456	0.02983	12.25
40	31.36	3	7	1.204	10	1.35	0.03124	12.5
40	31.68	3	7	1.204	10	1.3557	0.03261	12.75
40	32	3	7	1.204	10	1.3601	0.03413	13
40	32.32	3	7	1.204	10	1.3648	0.03567	13.25
40	32.64	3	7	1.204	10	1.3688	0.03732	13.5
40	32.96	3	7	1.204	10	1.3728	0.03903	13.75
40	33.28	3	7	1.204	10	1.3757	0.04086	14
40	33.6	3	7	1.204	10	1.3789	0.04277	14.25
40	33.92	3	7	1.204	10	1.3802	0.04483	14.5
40	34.24	3	7	1.204	10	1.3824	0.04698	14.75
40	34.56	3	7	1.204	10	1.382	0.04935	15
40	34.88	3	7	1.204	10	1.3824	0.05178	15.25
40	35.2	3	7	1.204	10	1.3808	0.05445	15.5
40	35.52	3	7	1.204	10	1.3796	0.05717	15.75
40	35.84	3	7	1.204	10	1.3767	0.06013	16
40	36.16	3	7	1.204	10	1.3738	0.06315	16.25
40	36.48	3	7	1.204	10	1.3703	0.06636	16.5
40	36.8	3	7	1.204	10	1.3678	0.0694	16.75
40	37.12	3	7	1.204	10	1.364	0.07279	17
40	37.44	3	7	1.204	10	1.3615	0.07584	17.25
40	37.76	3	7	1.204	10	1.3587	0.07925	17.5
40	38.08	3	7	1.204	10	1.3568	0.08245	17.75
40	38.4	3	7	1.204	10	1.3575	0.08511	18
40	38.72	3	7	1.204	10	1.3555	0.08846	18.25
40	39.04	3	7	1.204	10	1.3549	0.09156	18.5
40	39.36	3	7	1.204	10	1.3582	0.09387	18.75
40	39.68	3	7	1.204	10	1.3572	0.09707	19
40	40	3	7	1.204	10	1.3551	0.1005	19.25
